id;sender_name;sender_email;sender_address;sender_phone_no;receiver_name;receiver_email;receiver_address;receiver_phone_no;parcel_name;parcel_type;parcel_weight_in_kg;status
6166;Rhea;rhea@gmail.com;VijayNagar;9820468937;Lester;lester@yahoo.com;Colaba;9167646426;Medicines;Light Items;0.2;Completed
81334;Keerti;keerti@gmail.com;RamNagar;8820468937;Alister;alister@yahoo.com;Colaba;7167646426;Watch;Light Items;0.1;Completed
69519;Dharam;dharam@gmail.com;DharamNagar;9920468937;Joel;joel@yahoo.com;NarimanPoint;9967646426;Phone;Electronic Items;0.4;Completed
64976;Shraavya;user01@gmail.com;JBNagar;6820468937;Lester;user02@yahoo.com;Kondivita;9267646426;Card;Documents;0.1;Completed
39629;Somnath;user03@gmail.com;HanumanNagar;9920268937;Domingos;user04@yahoo.com;Borivali;8967646426;Mouse;Electronic Items;0.1;Completed
88205;Lian;user05@gmail.com;VasaiNagar;7720468937;Suzzane;user06@yahoo.com;Kandivali;9767646426;Books;Documents;0.5;Completed
87386;Nisha;user112@gmail.com;IC Colony;7826468937;Rebecca;user237@yahoo.com;Andheri;8362646426;Softtoy;Light Items;2;Completed
62341;Shraavya;user01@gmail.com;JBNagar;6820468937;Lester;user02@yahoo.com;Kondivita;9267646426;Card;Documents;0.1;Completed
8533;Louis;user0g@gmail.com;JBNagar;9520468937;Gilbert;user42@yahoo.com;Borivali;8447646426;Laptop;Electronic Items;1;Completed
30612;Ayusha;user007@gmail.com;Mulund;8120468937;Lester;user02@yahoo.com;Kondivita;9267646426;Letter;Documents;0.1;Completed
